dox	time	image	cell	c_area	n_area	Fli1	Cdh5	Flk1	Etv2	Pdgfra	Snail1	FP	n_Fli1	n_Cdh5	n_Flk1	n_Etv2	n_Pdgfra	n_Snail1	n_FP	p_Etv2
47	20	6	2	6	24038	10167	0	0.000124802396206007	0.00029120559114735	0	0.000249604792412014	0.000332806389882686	0	0	0	0	0	0	0	0	0.0453129733451362
48	20	6	2	7	29610	11386	0.000101317122593718	0.000101317122593718	0.0038838230327592	0.00901722391084093	0.000135089496791624	0.000371496116176967	0.000101317122593718	0	0	1	0	0	0	0	0.0483571930440892
49	20	6	2	8	34068	17215	0.00102735705060467	0.000469648937419279	0.00278854056592697	0.00287659974169308	0.00017611835153223	8.80591757661148e-05	0	0	0	1	0	0	0	0	0.0495119953528899
50	20	6	2	9	23735	10951	0.000126395618285233	8.42637455234885e-05	0.000547714345902675	0.000252791236570466	0.000547714345902675	0.000884769327996629	0	0	0	0	0	0	0	0	0.0410235594922838
51	20	6	2	10	29633	11290	0	3.37461613741437e-05	0	0.0159956804913441	0	0.000168730806870718	0	0	0	0	1	0	0	0	0.046167139061116
52	20	6	2	11	20899	9742	0.000430642614479162	4.78491793865735e-05	0.00291879994258098	0.000430642614479162	0.000478491793865735	0.00167472127853007	4.78491793865735e-05	0	0	0	0	0	0	0	0.0441049065900226
53	20	6	2	12	33482	14319	0.000448001911474822	2.98667940983215e-05	0.00149333970491607	0	0	0	0	0	0	0	0	0	0	0	0.0482435225923598
54	20	6	2	13	21404	9030	0.000654083348906746	0.000420482152868623	0.00289665483087273	0.00102784526256774	9.34404784152495e-05	0.000373761913660998	0	0	0	0	0	0	0	0	0.0467757475083056
55	20	6	2	14	39062	15655	0.000128001638420972	7.68009830525831e-05	0.00166402129947263	0.0103169320567303	5.12006553683887e-05	0.000128001638420972	5.12006553683887e-05	0	0	0	1	0	0	0	0.0451227083998722
56	20	6	2	15	23800	13753	0	0	0	0.0011344537815126	0	0.000378151260504202	0	0	0	0	0	0	0	0	0.0419139096924307
57	20	6	2	16	15855	6339	0.000441501103752759	0.000378429517502365	0.00258593503626616	0.0100914538000631	0	0.000693787448754336	6.30715862503942e-05	0	0	0	0	0	0	0	0.0564111058526581
58	20	6	2	17	26604	11978	0.0006765899864682	0.000300706660652533	0.003382949932341	0.00492407156818524	0.0002255299954894	0.001127649977447	0	0	0	0	1	0	0	0	0.0417098847887794
59	20	6	2	18	32021	8525	3.12295056369258e-05	6.24590112738515e-05	0.00212360638331095	0.00633958964429593	6.24590112738515e-05	0.000468442584553887	9.36885169107773e-05	0	0	1	2	0	0	0	0.0413395894428153
